geneid,cid,aid,acname,acvalue
7046,44201376,438018,IC50,0.055
7046,44521026,438018,IC50,0.063
7046,25192277,438018,IC50,0.022
7046,447077,624961,Kd,1.5
7046,23546123,447434,IC50,0.079
7046,117072549,1309660,IC50,5.14
7046,44201376,438017,IC50,0.044
7046,44521026,438017,IC50,0.129
7046,23546124,447434,IC50,0.104
7046,10133886,447434,IC50,0.11
7046,21992651,447434,IC50,0.646
7046,11495553,447434,IC50,0.081
7046,11675099,447434,IC50,0.025
7046,10157758,447434,IC50,0.091
7046,45487442,447434,IC50,19.5
7046,9969336,447434,IC50,0.087
7046,45487500,447434,IC50,0.04
7046,10471782,447434,IC50,1.7
7046,21992839,447434,IC50,9.29
7046,44345925,447434,IC50,0.151
7046,21992913,447434,IC50,0.071
7046,21992824,447434,IC50,0.877
7046,21992681,447434,IC50,0.343
7046,21992575,447434,IC50,0.048
7046,44346052,447434,IC50,0.054
7046,11638261,447434,IC50,0.059
7046,45487452,447434,IC50,0.032
7046,19886439,447434,IC50,1.6
7046,21992497,447434,IC50,0.088
7046,9838979,447434,IC50,0.047
7046,21992678,447434,IC50,0.078
7046,9944477,447434,IC50,2.62
7046,10294883,447434,IC50,0.03
7046,10131416,447434,IC50,0.059
7046,10935193,447434,IC50,5.1
7046,10946675,447434,IC50,0.46
7046,9968513,447434,IC50,1.3
7046,21992749,447434,IC50,4
7046,5287525,447434,IC50,1.32
7046,9922527,447434,IC50,0.02
7046,45487436,447434,IC50,0.006
7046,45487486,447434,IC50,0.034
7046,10273926,447434,IC50,0.11
7046,4521392,435938,Kd,0.17
7046,25192277,438017,IC50,0.072
7046,11483515,447434,IC50,10.965
7046,11588676,447434,IC50,0.24
7046,10202642,447434,IC50,0.018
7046,11626023,447434,IC50,0.112
7046,10274522,447434,IC50,0.042
7046,16731413,447434,IC50,0.046
7046,16731414,447434,IC50,0.36
7046,16731722,447434,IC50,0.024
7046,45487437,447434,IC50,0.027
7046,11439188,447434,IC50,1.023
7046,11370662,447434,IC50,1.259
7046,11473228,447434,IC50,0.013
7046,11558948,447434,IC50,0.115
7046,16731882,447434,IC50,0.047
7046,45487521,447434,IC50,1.778
7046,4521392,447434,IC50,0.094
7046,9951300,447434,IC50,0.26
7046,9925495,447434,IC50,0.019
7046,9925372,447434,IC50,0.024
7046,11633551,447434,IC50,0.214
7046,9861063,447434,IC50,0.107
7046,16731561,447434,IC50,0.01
7046,16731885,447434,IC50,0.075
7046,16731563,447434,IC50,0.092
7046,9908131,447434,IC50,0.17
7046,9863630,447434,IC50,1.5
7046,9796486,447434,IC50,0.274
7046,11290221,447434,IC50,0.011
7046,11162962,447434,IC50,0.38
7046,9858084,447434,IC50,0.048
7046,9945516,447434,IC50,0.043
7046,11529890,447434,IC50,0.035
7046,16731881,447434,IC50,0.073
7046,16731883,447434,IC50,0.021
7046,16731884,447434,IC50,0.046
7046,45487422,447434,IC50,0.047
7046,45487458,447434,IC50,0.015
7046,176155,624961,Kd,7.1
7046,135565635,624961,Kd,0.1
7046,11231979,242721,IC50,3.98
7046,176155,435938,Kd,7.1
7046,44521017,438018,IC50,0.282
7046,44521018,438018,IC50,0.628
7046,44521021,438018,IC50,0.032
7046,44521022,438018,IC50,0.062
7046,44521023,438018,IC50,0.035
7046,25192275,438018,IC50,0.027
7046,44521014,438018,IC50,0.02
7046,44521015,438018,IC50,0.021
7046,44521025,438018,IC50,0.031
7046,44521019,438018,IC50,0.114
7046,44521024,438018,IC50,0.146
7046,44521016,438017,IC50,0.227
7046,11231979,447434,IC50,3.981
7046,11055906,447434,IC50,1.76
7046,10977011,447434,IC50,3.99
7046,10380809,447434,IC50,0.203
7046,11033585,447434,IC50,0.091
7046,45487439,447434,IC50,6
7046,5162,447434,IC50,30
7046,10361281,447434,IC50,0.369
7046,11119216,447434,IC50,0.15
7046,447966,447434,IC50,0.051
7046,135470346,447434,IC50,0.031
7046,11054978,447434,IC50,0.353
7046,135507480,650567,IC50,0.032
7046,57400096,650567,IC50,0.68
7046,136042363,650567,IC50,0.68
7046,136042367,650567,IC50,1.7
7046,136042370,650567,IC50,1.7
7046,136042371,650567,IC50,0.83
7046,136042374,650567,IC50,1.9
7046,136042376,650567,IC50,1.2
7046,136042358,650567,IC50,0.76
7046,136042378,650567,IC50,0.17
7046,136042360,650567,IC50,3.6
7046,136042361,650567,IC50,1.9
7046,136042364,650567,IC50,0.35
7046,136042365,650567,IC50,1.6
7046,136042368,650567,IC50,3.9
7046,136042373,650567,IC50,0.73
7046,136042375,650567,IC50,2.1
7046,136042359,650567,IC50,0.39
7046,136042362,650567,IC50,1
7046,136042366,650567,IC50,1.4
7046,136042369,650567,IC50,1
7046,136042372,650567,IC50,0.75
7046,136042377,650567,IC50,6.4
7046,135454787,650567,IC50,0.28
7046,57403566,650567,IC50,2.7
7046,136105743,717287,IC50,0.036
7046,135489172,717287,IC50,0.099
7046,135442675,717287,IC50,0.092
7046,135476526,717287,IC50,0.038
7046,135442620,717287,IC50,0.017
7046,135421299,717287,IC50,0.13
7046,136105602,717287,IC50,0.045
7046,136105623,717287,IC50,0.049
7046,136105631,717287,IC50,0.11
7046,136105653,717287,IC50,0.036
7046,136105667,717287,IC50,0.093
7046,136105681,717287,IC50,0.15
7046,136105686,717287,IC50,0.072
7046,136105690,717287,IC50,0.089
7046,136105705,717287,IC50,0.033
7046,136105739,717287,IC50,0.12
7046,136105601,717287,IC50,0.041
7046,136105610,717287,IC50,0.042
7046,136105634,717287,IC50,0.13
7046,136105638,717287,IC50,0.074
7046,136105657,717287,IC50,0.42
7046,136105702,717287,IC50,0.043
7046,136105708,717287,IC50,0.19
7046,136105752,717287,IC50,0.23
7046,136105756,717287,IC50,0.15
7046,136105600,717287,IC50,0.035
7046,136105611,717287,IC50,0.035
7046,136105614,717287,IC50,0.13
7046,136105618,717287,IC50,0.0087
7046,136105635,717287,IC50,0.068
7046,136105687,717287,IC50,0.075
7046,136105689,717287,IC50,0.048
7046,136105692,717287,IC50,0.079
7046,136105695,717287,IC50,0.071
7046,136105717,717287,IC50,0.04
7046,136105759,717287,IC50,0.14
7046,72375220,775647,IC50,3.82
7046,72375217,775647,IC50,0.99
7046,72375325,775647,IC50,0.65
7046,72375326,775647,IC50,0.8
7046,72375323,775647,IC50,0.95
7046,72375324,775647,IC50,0.24
7046,72375322,775647,IC50,1.78
7046,72375218,775647,IC50,3.36
7046,72375222,775647,IC50,2.08
7046,72375216,775647,IC50,2.43
7046,4521392,775647,IC50,0.35
7046,121232401,1307381,INH,0.12
7046,121232401,1307386,IC50,0.0019
