geneid,cid,aid,acname,acvalue
3480,59758024,1342325,IC50,0.05
3480,59758026,1342325,IC50,0.05
3480,59758032,1342325,IC50,0.5
3480,59758033,1342325,IC50,0.5
3480,59758042,1342325,IC50,0.05
3480,59758043,1342325,IC50,0.5
3480,59758044,1342325,IC50,0.05
3480,59758047,1342325,IC50,0.05
3480,59758066,1342325,IC50,0.05
3480,59758069,1342325,IC50,0.5
3480,59758072,1342325,IC50,0.05
3480,59758075,1342325,IC50,0.5
3480,59758078,1342325,IC50,0.05
3480,59758086,1342325,IC50,0.5
3480,59758090,1342325,IC50,0.05
3480,59758091,1342325,IC50,0.5
3480,59758094,1342325,IC50,0.5
3480,59758097,1342325,IC50,0.05
3480,59758101,1342325,IC50,0.5
3480,59758105,1342325,IC50,0.5
3480,59758110,1342325,IC50,0.05
3480,59758111,1342325,IC50,0.05
3480,59758113,1342325,IC50,0.5
3480,59758116,1342325,IC50,0.5
3480,59758124,1342325,IC50,0.05
3480,59758125,1342325,IC50,0.5
3480,59758128,1342325,IC50,0.05
3480,59758133,1342325,IC50,0.05
3480,59758135,1342325,IC50,0.05
3480,59758142,1342325,IC50,0.05
3480,59758145,1342325,IC50,0.05
3480,59758148,1342325,IC50,0.5
3480,59758151,1342325,IC50,0.5
3480,59758156,1342325,IC50,0.05
3480,59758158,1342325,IC50,0.5
3480,59758162,1342325,IC50,0.5
3480,59758181,1342325,IC50,0.05
3480,59758182,1342325,IC50,0.5
3480,59757959,1342325,IC50,0.5
3480,59757964,1342325,IC50,0.5
3480,59757966,1342325,IC50,0.5
3480,11656298,1342325,IC50,0.05
3480,59429195,1342325,IC50,0.5
3480,59757975,1342325,IC50,0.05
3480,59757984,1342325,IC50,0.05
3480,59757985,1342325,IC50,0.05
3480,59757991,1342325,IC50,0.05
3480,59757993,1342325,IC50,0.05
3480,59757996,1342325,IC50,0.5
3480,59757997,1342325,IC50,0.05
3480,59757998,1342325,IC50,0.5
3480,59757999,1342325,IC50,0.05
3480,59758000,1342325,IC50,0.5
3480,59758014,1342325,IC50,0.5
3480,59758015,1342325,IC50,0.05
3480,59758022,1342325,IC50,0.05
3480,59758031,1342325,IC50,0.5
3480,59758037,1342325,IC50,0.05
3480,59758039,1342325,IC50,0.5
3480,59758051,1342325,IC50,0.05
3480,59758056,1342325,IC50,0.5
3480,59758057,1342325,IC50,0.05
3480,59758061,1342325,IC50,0.5
3480,59758074,1342325,IC50,0.05
3480,59758079,1342325,IC50,0.05
3480,59758082,1342325,IC50,0.05
3480,59758092,1342325,IC50,0.05
3480,59758093,1342325,IC50,0.5
3480,59758098,1342325,IC50,0.5
3480,59758103,1342325,IC50,0.5
3480,59758104,1342325,IC50,0.5
3480,59758112,1342325,IC50,0.05
3480,59758122,1342325,IC50,0.05
3480,59758123,1342325,IC50,0.5
3480,59758130,1342325,IC50,0.5
3480,59758134,1342325,IC50,0.05
3480,59758138,1342325,IC50,0.5
3480,59758140,1342325,IC50,0.05
3480,59758141,1342325,IC50,0.05
3480,59758153,1342325,IC50,0.5
