cid,aid,activity,acname,acvalue,geneid
9893493,240497,Active,IC50,5.3,2064
9893493,240673,Unspecified,IC50,50,1017
9893493,241497,Active,IC50,1.5,3791
9893493,241555,Active,IC50,6.2e-05,3791
9893493,241755,Active,IC50,0.062,3791
11292923,241089,Active,IC50,0.0002,3791
11224592,241089,Active,IC50,0.0002,3791
11270447,241089,Active,IC50,0.0004,3791
11212549,241089,Active,IC50,0.0002,3791
11352232,241089,Active,IC50,0.0004,3791
11213083,241089,Active,IC50,0.0002,3791
11339914,241089,Active,IC50,0.0004,3791
135980544,657010,Active,IC50,0.0003,3791
122180050,1231899,Active,IC50,0.00022,3791
122180065,1231899,Active,IC50,0.00014,3791
122180042,1231899,Active,IC50,0.00036,3791
122180064,1231899,Active,IC50,0.00015,3791
134142952,1330727,Active,IC50,0.00043,3791
134135021,1330727,Active,IC50,0.00042,3791
134133235,1330727,Active,IC50,0.00041,3791
