cid,aid,activity,acname,acvalue,geneid
53235510,1344883,Active,IC50,0.013,2264
53235510,1344884,Active,IC50,0.001,2260
89622320,1343507,Active,IC50,0.001,2260
89622320,1343508,Active,IC50,0.0029,2261
89622324,1343507,Active,IC50,0.0009,2260
89622324,1343508,Active,IC50,0.0047,2261
89639188,1343507,Active,IC50,0.0005,2260
89639188,1343508,Active,IC50,0.0009,2261
89622428,1343507,Active,IC50,0.0009,2260
89622428,1343508,Active,IC50,0.0033,2261
89622845,1343507,Active,IC50,0.0007,2260
89622845,1343508,Active,IC50,0.0052,2261
89622783,1343507,Active,IC50,0.0013,2260
89622783,1343508,Active,IC50,0.0057,2261
89620466,1343507,Active,IC50,0.001,2260
89620466,1343508,Active,IC50,0.001,2261
89620545,1343507,Active,IC50,0.0013,2260
89620545,1343508,Active,IC50,0.0126,2261
89622288,1343507,Active,IC50,0.0014,2260
89622288,1343508,Active,IC50,0.0007,2261
89639178,1343507,Active,IC50,0.0014,2260
89639178,1343508,Active,IC50,0.0025,2261
89641676,1343507,Active,IC50,0.0011,2260
89641676,1343508,Active,IC50,0.0049,2261
71580718,1343507,Active,IC50,0.0013,2260
71580718,1343508,Active,IC50,0.0002,2261
71612127,1343507,Active,IC50,0.0009,2260
71612127,1343508,Active,IC50,0.0049,2261
71612249,1343507,Active,IC50,0.001,2260
71612249,1343508,Active,IC50,0.0072,2261
71612126,1343507,Active,IC50,0.0005,2260
71612126,1343508,Active,IC50,0.0027,2261
