cid,aid,activity,acname,acvalue,geneid
45487436,447434,Active,IC50,0.006,7046
10202642,447434,Active,IC50,0.018,7046
11473228,447434,Active,IC50,0.013,7046
9925495,447434,Active,IC50,0.019,7046
16731561,447434,Active,IC50,0.01,7046
11290221,447434,Active,IC50,0.011,7046
45487458,447434,Active,IC50,0.015,7046
135442620,717287,Active,IC50,0.017,7046
136105618,717287,Active,IC50,0.0087,7046
121232401,1307384,Active,IC50,0.0024,657
121232401,1307386,Active,IC50,0.0019,7046
121232401,1307382,Active,IC50,0.0011,94
121232401,1307376,Active,IC50,0.004,94
121232401,1307383,Active,IC50,0.0012,90
