cid,aid,activity,acname,acvalue,geneid
5330262,1340379,Active,IC50,1.52,2261
5330262,1340379,Active,IC50,1.52,2260
5330262,1340379,Active,IC50,1.52,2264
5330262,1340379,Active,IC50,1.52,2263
5330262,1340377,Active,IC50,0.015,595
5330262,1340377,Active,IC50,0.015,1019
5330263,240730,Active,IC50,0.835,1017
5330263,240730,Active,IC50,0.835,8900
5330263,240730,Active,IC50,0.835,890
5330263,1340378,Active,IC50,0.835,1017
5330263,1340378,Active,IC50,0.835,890
5330263,1340379,Active,IC50,1.38,2261
5330263,1340379,Active,IC50,1.38,2260
5330263,1340379,Active,IC50,1.38,2264
5330263,1340379,Active,IC50,1.38,2263
5330263,1340377,Active,IC50,0.013,595
5330263,1340377,Active,IC50,0.013,1019
5330278,240730,Active,IC50,0.439,1017
5330278,240730,Active,IC50,0.439,8900
5330278,240730,Active,IC50,0.439,890
5330278,241661,Active,IC50,0.439,1017
5330278,241661,Active,IC50,0.439,8900
5330278,241661,Active,IC50,0.439,890
5330278,241662,Active,IC50,0.95,898
5330278,241662,Active,IC50,0.95,9134
5330278,241662,Active,IC50,0.95,1017
5330278,1239757,Active,IC50,0.005,1019
5330278,1239758,Active,IC50,0.439,1017
5330278,1340378,Active,IC50,0.439,1017
5330278,1340378,Active,IC50,0.439,890
5330278,1340379,Active,IC50,1.74,2261
5330278,1340379,Active,IC50,1.74,2260
5330278,1340379,Active,IC50,1.74,2264
5330278,1340379,Active,IC50,1.74,2263
5330278,1340377,Active,IC50,0.005,595
5330278,1340377,Active,IC50,0.005,1019
5330329,1340379,Active,IC50,1.078,2261
5330329,1340379,Active,IC50,1.078,2260
5330329,1340379,Active,IC50,1.078,2264
5330329,1340379,Active,IC50,1.078,2263
5330329,1340377,Active,IC50,0.007,595
5330329,1340377,Active,IC50,0.007,1019
5330333,241661,Active,IC50,0.024,1017
5330333,241661,Active,IC50,0.024,8900
5330333,241661,Active,IC50,0.024,890
5330333,241662,Active,IC50,0.08,898
5330333,241662,Active,IC50,0.08,9134
5330333,241662,Active,IC50,0.08,1017
5330333,1340378,Active,IC50,0.024,1017
5330333,1340378,Active,IC50,0.024,890
5330333,1340379,Active,IC50,0.081,2261
5330333,1340379,Active,IC50,0.081,2260
5330333,1340379,Active,IC50,0.081,2264
5330333,1340379,Active,IC50,0.081,2263
5330333,1340377,Active,IC50,0.006,595
5330333,1340377,Active,IC50,0.006,1019
118029202,1344883,Active,IC50,0.0002,2264
118029202,1344884,Active,IC50,0.513,2260
118029202,1344881,Active,IC50,1.98,2263
53235510,1344883,Active,IC50,0.013,2264
53235510,1344884,Active,IC50,0.001,2260
9811611,1141134,Active,Kd,0.422,4921
9811611,1141136,Active,IC50,0.024,4921
9811611,1344807,Active,IC50,0.122,2321
9811611,1344801,Active,IC50,0.00527,7422
9811611,1344802,Active,IC50,0.207,9212
9811611,1344808,Active,IC50,0.419,2322
9811611,1344809,Active,IC50,0.0542,2324
9811611,1344815,Active,IC50,0.0111,5979
9811611,1344797,Active,IC50,0.00879,2263
9811611,1344804,Active,IC50,0.00308,2263
9811611,1344806,Active,IC50,0.5,2264
9811611,1344811,Active,IC50,0.00127,3791
9811611,1344813,Active,IC50,1.86,5159
9811611,1344810,Active,IC50,0.161,2534
9811611,1344796,Active,IC50,0.01055,3791
9811611,1344803,Active,IC50,0.0085,2260
9811611,1344805,Active,IC50,0.0339,2261
9811611,1344814,Active,IC50,0.0101,7010
