cid,aid,activity,acname,acvalue,geneid
5330130,242345,Active,IC50,0.003,3791
5330130,248575,Active,IC50,0.2,2263
5330130,248789,Active,IC50,0.0004,2263
5330130,248925,Active,IC50,0.0027,2263
134142744,1259179,Active,IC50,0.0004,2263
89871008,1259179,Active,IC50,0.0003,2263
112500216,1259179,Active,IC50,0.0003,2263
127046432,1298506,Active,IC50,0.0004,2263
127046432,1298508,Active,IC50,0.01,2263
127046442,1298506,Active,IC50,0.0002,2263
127046442,1298508,Active,IC50,0.0001,2263
127045946,1298506,Active,IC50,0.0003,2263
127045946,1298508,Active,IC50,0.0014,2263
127047232,1298506,Active,IC50,0.0004,2263
127047232,1298508,Active,IC50,0.0039,2263
127046609,1298506,Active,IC50,0.0003,2263
127046609,1298508,Active,IC50,0.0175,2263
127047969,1298506,Active,IC50,0.0002,2263
127047969,1298508,Active,IC50,0.0008,2263
127047969,1298525,Active,IC50,0.0004,2263
127046442,1298506,Active,IC50,0.0002,2263
127046442,1298508,Active,IC50,0.0001,2263
127047842,1298506,Active,IC50,0.0006,2263
127047842,1298508,Active,IC50,0.0001,2263
127045974,1298506,Active,IC50,0.0006,2263
127045974,1298508,Active,IC50,0.0001,2263
127047969,1298506,Active,IC50,0.0002,2263
127047969,1298508,Active,IC50,0.0008,2263
127047969,1298525,Active,IC50,0.0004,2263
