cid,aid,activity,acname,acvalue,geneid
9811611,1141134,Active,Kd,0.422,4921
9811611,1141136,Active,IC50,0.024,4921
9811611,1344798,Active,IC50,2.63667,5159
9811611,1344799,Active,IC50,5.8534,1956
9811611,1344800,Active,IC50,10.283,3643
9811611,1344807,Active,IC50,0.122,2321
9811611,1344801,Active,IC50,0.00527,7422
9811611,1344802,Active,IC50,0.207,9212
9811611,1344808,Active,IC50,0.419,2322
9811611,1344809,Active,IC50,0.0542,2324
9811611,1344815,Active,IC50,0.0111,5979
9811611,1344797,Active,IC50,0.00879,2263
9811611,1344804,Active,IC50,0.00308,2263
9811611,1344806,Active,IC50,0.5,2264
9811611,1344811,Active,IC50,0.00127,3791
9811611,1344813,Active,IC50,1.86,5159
9811611,1344810,Active,IC50,0.161,2534
9811611,1344796,Active,IC50,0.01055,3791
9811611,1344803,Active,IC50,0.0085,2260
9811611,1344805,Active,IC50,0.0339,2261
9811611,1344812,Active,IC50,3.12,5156
9811611,1344814,Active,IC50,0.0101,7010
5329446,67835,Active,IC50,0.022,3791
5329446,67835,Active,IC50,0.022,2321
5329446,67835,Active,IC50,0.022,2324
5329446,216771,Active,IC50,0.004,3791
5329471,67835,Active,IC50,0.02,3791
5329471,67835,Active,IC50,0.02,2321
5329471,67835,Active,IC50,0.02,2324
5329471,216771,Active,IC50,0.007,3791
5329450,67835,Active,IC50,0.018,3791
5329450,67835,Active,IC50,0.018,2321
5329450,67835,Active,IC50,0.018,2324
5329450,216771,Active,IC50,0.003,3791
5329453,67835,Active,IC50,0.031,3791
5329453,67835,Active,IC50,0.031,2321
5329453,67835,Active,IC50,0.031,2324
5329453,216771,Active,IC50,0.011,3791
5329453,527863,Active,IC50,0.28,5564
5329453,527863,Active,IC50,0.28,5563
5329453,527863,Active,IC50,0.28,53632
5329453,527863,Active,IC50,0.28,5565
5329453,527863,Active,IC50,0.28,51422
5329453,527863,Active,IC50,0.28,5562
5329453,527863,Active,IC50,0.28,5571
5329469,67835,Active,IC50,0.07,3791
5329469,67835,Active,IC50,0.07,2321
5329469,67835,Active,IC50,0.07,2324
5329469,216771,Active,IC50,0.014,3791
5329452,67835,Active,IC50,0.029,3791
5329452,67835,Active,IC50,0.029,2321
5329452,67835,Active,IC50,0.029,2324
5329452,216771,Active,IC50,0.02,3791
5329449,67835,Active,IC50,0.023,3791
5329449,67835,Active,IC50,0.023,2321
5329449,67835,Active,IC50,0.023,2324
5329449,216771,Active,IC50,0.01,3791
5329457,67835,Active,IC50,0.15,3791
5329457,67835,Active,IC50,0.15,2321
5329457,67835,Active,IC50,0.15,2324
5329457,216771,Active,IC50,0.037,3791
5329457,216906,Active,IC50,0.029,3791
5329447,67835,Active,IC50,0.032,3791
5329447,67835,Active,IC50,0.032,2321
5329447,67835,Active,IC50,0.032,2324
5329447,216771,Active,IC50,0.009,3791
5329447,527863,Active,IC50,1.8,5564
5329447,527863,Active,IC50,1.8,5563
5329447,527863,Active,IC50,1.8,53632
5329447,527863,Active,IC50,1.8,5565
5329447,527863,Active,IC50,1.8,51422
5329447,527863,Active,IC50,1.8,5562
5329447,527863,Active,IC50,1.8,5571
5329470,67835,Active,IC50,0.08,3791
5329470,67835,Active,IC50,0.08,2321
5329470,67835,Active,IC50,0.08,2324
5329470,216771,Active,IC50,0.013,3791
