cid,aid,activity,acname,acvalue,geneid
71462718,709642,Active,IC50,0.17,7048
4521392,435524,Active,Kd,0.17,1453
4521392,435650,Active,Kd,0.26,1454
4521392,435898,Active,Kd,0.19,91
4521392,435938,Active,Kd,0.17,7046
4521392,447434,Active,IC50,0.094,7046
4521392,709642,Active,IC50,0.066,7048
4521392,775647,Active,IC50,0.35,7046
71452019,709642,Active,IC50,0.17,7048
10064294,261604,Active,IC50,0.395,7048
10361101,261604,Active,IC50,0.352,7048
44223357,750124,Active,IC50,0.236,7048
57339386,750124,Active,IC50,0.016,7048
57339386,750126,Active,IC50,0.024,659
60182364,750124,Active,IC50,0.015,7048
60182388,750124,Active,IC50,0.327,7048
60182373,750124,Active,IC50,0.038,7048
60182373,750126,Active,IC50,0.059,659
60182389,750124,Active,IC50,0.026,7048
60182393,750124,Active,IC50,0.00137,7048
60182393,750126,Active,IC50,0.0159,659
11524144,527863,Active,IC50,0.041,5564
11524144,527863,Active,IC50,0.041,5563
11524144,527863,Active,IC50,0.041,53632
11524144,527863,Active,IC50,0.041,5565
11524144,527863,Active,IC50,0.041,51422
11524144,527863,Active,IC50,0.041,5562
11524144,527863,Active,IC50,0.041,5571
11524144,750124,Active,IC50,0.1029,7048
11524144,750126,Active,IC50,0.074,659
11524144,1266415,Active,IC50,0.23,5563
11524144,1266415,Active,IC50,0.23,5565
11524144,1266415,Active,IC50,0.23,51422
25195294,750124,Active,IC50,0.1404,7048
