cid,aid,activity,acname,acvalue,geneid
5329016,216627,Active,IC50,0.003,2321
5329016,216644,Active,IC50,0.002,3791
5329013,216627,Active,IC50,0.002,2321
5329013,216644,Active,IC50,0.002,3791
51001040,1257735,Active,IC50,0.004,2321
51001287,1257735,Active,IC50,0.004,2321
51001283,1257735,Active,IC50,0.002,2321
51000883,1257735,Active,IC50,0.004,2321
51000959,1257735,Active,IC50,0.003,2321
51001043,1257735,Active,IC50,0.005,2321
51000963,1257735,Active,IC50,0.003,2321
67042483,1257735,Active,IC50,0.005,2321
50915113,1257734,Active,IC50,0.005,3791
50915113,1257735,Active,IC50,0.005,2321
86290277,1344206,Active,IC50,0.004,3791
86290277,1344207,Active,IC50,0.005,2321
86290583,1344206,Active,IC50,0.003,3791
86290583,1344207,Active,IC50,0.003,2321
86290321,1344206,Active,IC50,0.003,3791
86290321,1344207,Active,IC50,0.003,2321
86290544,1344206,Active,IC50,0.003,3791
86290544,1344207,Active,IC50,0.004,2321
86290582,1344206,Active,IC50,0.004,3791
86290582,1344207,Active,IC50,0.005,2321
