geneid,cid,aid,acname,acvalue
2264,447077,625130,Kd,0.49
2264,3038525,625130,Kd,10
2264,3025986,625130,Kd,10
2264,9869779,625130,Kd,10
2264,6918454,625130,Kd,10
2264,24180719,625130,Kd,10
2264,5330259,1340379,IC50,5
2264,5330274,1340379,IC50,5
2264,5330273,1340379,IC50,5
2264,5330260,1340379,IC50,4.47
2264,5330281,1340379,IC50,5
2264,5330283,1340379,IC50,0.515
2264,5330261,1340379,IC50,5
2264,5330262,1340379,IC50,1.52
2264,5330263,1340379,IC50,1.38
2264,5330271,1340379,IC50,5
2264,5330282,1340379,IC50,5
2264,5330284,1340379,IC50,5
2264,5330285,1340379,IC50,5
2264,5330294,1340379,IC50,5
2264,5330303,1340379,IC50,5
2264,3038525,435656,Kd,10
2264,4521392,435656,Kd,10
2264,3025986,435656,Kd,10
2264,5330790,435656,Kd,10
2264,135565635,625130,Kd,1.1
2264,176155,625130,Kd,10
2264,10427712,625130,Kd,10
2264,11617559,625130,Kd,10
2264,11338033,625130,Kd,10
2264,5330278,1340379,IC50,1.74
2264,5330231,1340379,IC50,2.98
2264,5330329,1340379,IC50,1.078
2264,5330333,1340379,IC50,0.081
2264,118029202,1344883,IC50,0.0002
2264,53235510,1344883,IC50,0.013
2264,11314340,625130,Kd,10
2264,9929127,625130,Kd,10
2264,5169,435656,Kd,10
2264,176155,435656,Kd,10
2264,11617559,435656,Kd,10
2264,9811611,1344806,IC50,0.5
