geneid,cid,aid,acname,acvalue
3482,135524445,102609,IC50,3.2
3482,135410197,102609,IC50,77.1
3482,10070969,102609,IC50,46.5
3482,439427,318562,IC50,10
3482,49797399,318562,IC50,5.03
3482,447096,318562,IC50,11.5
3482,49797397,318562,IC50,3.7
3482,49797398,318562,IC50,4.44
3482,49797400,318562,IC50,4.76
3482,44449242,318562,IC50,20
3482,44449275,318562,IC50,1.8
3482,10102934,318562,IC50,0.09
